Label,Tweet
Non_HS,detikcom: Terpopuler Siapa bilang lulusan SMK tak mampu membuat startup? Pria bernama Sopian Gunawan ini berhasil membuktikannya    Bex80\ 
HS,detikcom: Anggota DPR RI   Fadli Zon menyentil kebijakan Gubernur DKI Jakarta Anies Baswedan yang mengizinkan mal dibuka namun ziarax80\ 
Non_HS,detikcom: Ayam gulai McDonalds sedang viral akhir-akhir ini    Hal ini membuat YouTuber Jennie Linando membuat kreasi nasi ayam gulai Mcx80\ 
Non_HS,detikcom: Beragam pertanyaan kontroversial diduga ada dalam tes tersebut       termasuk tentang threesome dan orgy    https://t   co/gdqPBU0x80\ 
Non_HS,detikcom: Bobby geram karena melihat ada tulisan tutup di meja pelayanan hingga kursi ASN yang kosong di jam kerja    https://t   co/SIy9x80\ 
Non_HS,detikcom: Dalam menyambut Idul Fitri 2021 desainer Sapto Djojokartiko meluncurkan busana terbarunya yang bertema Koleksi Raya 2021   x80\ 
Non_HS,detikcom: Damage pertanyaan semacam kapan nikah kapan lulus atau sudah hamil ketika silaturahmi akan lebih besar bagi si introvx80\ 
Non_HS,detikcom: Di Solo ada komunitas unik bernama Joli Jolan    Di sini pengunjung bisa menukarkan barang yang tidak terpakai dengan barangx80\ 
Non_HS,detikcom: Edinson Cavani mempunyai semangat agar terus tampil bagus di Manchester United    El Matador mengungkapkan bensin yang senantx80\ 
Non_HS,detikcom: Editors Choice: Tampil Feminin dengan 5 Wedges Bermotif http://t   co/NRDYs2M3GL via @wolipop http://t   co/DeGFXfnHgX 
Non_HS,detikcom: Erdogan bersumpah untuk mengerahkan dunia demi menghentikan teror yang dilakukan Israel terhadap Palestina    https://t   co/adx80\ 
Non_HS,detikcom: Erdogan mengecam Israel sebagai negara teroris yang kejam saat mengomentari bentrokan berdarah di Yerusalem    https://t   co/Cx80\ 
Non_HS,detikcom: Fraksi PPP DPR menyebut ada tiga faktor pemudik nekat menjebol penyekatan    Apa saja? https://t   co/3RaDapXL7i 
